1. ORT, 9.8
231. Пепси Мен, 0.9
#Pepsi - Пепси Мен раздаёт Pepsi всякий раз, когда может! После призыва он любыми средствами прибывает к вашему местоположению, раздаёт всем присутствующим по свежей банке Pepsi и исчезает. Перезарядка — 8 часов. Примечание: данный фамильяр не спонсируется корпорацией Pepsi.
232. Нашра, 4.7
#(Персонаж)Fear and Hunger - Нашра, некогда известный как Погибель и Ужас современного человека, ныне существует в виде парящей бессмертной головы. Он является чрезвычайно могущественным магом, специализирующимся на Кровавой магии, пиромантии и ритуалах. Несмотря на отвратительный характер, обладает огромной мудростью и знаниями. К счастью, его верность обеспечивается гачей, хотя грубость никуда не исчезает. Впрочем, вам бесплатно дают перебросить билет, на котором он выпал, чтобы не иметь с ним дела.
233. Левиафан, 6.1
#Worm - Осколочное супероружие, преобразованное Хаосом. Левиафан — невероятно могущественный гидрокинетик, способный управлять любой водой, не являющейся частью живого организма, как в огромных масштабах, так и с ювелирной точностью. Он способен затоплять целые города и обладает чудовищной физической силой в сочетании с невероятной прочностью Эндбрингера. (Примечание: ослаблен до уровня страны.)
234. Симург, 7.0
#Worm - Осколочное супероружие, преобразованное Хаосом. Симург представляет собой парящее ангелоподобное существо с экстремальными психическими способностями. Её телекинез сравнительно слаб по меркам её уровня, но обладает невероятной точностью. Настоящая сила Симург заключается в её абсурдном ясновидении: благодаря мозгу-гиперкомпьютеру она способна сканировать целую планету, точно предсказывать прошлое и будущее и манипулировать действиями других существ. Также обладает стандартным телосложением Эндбрингера со сверхчеловеческой силой и чудовищной выносливостью. (Примечание: ослаблена до уровня страны.) Её база данных технологий Тинкеров была очищена, но она всё ещё способна анализировать и воссоздавать технологии.
235. Бегемот, 6.7
#Worm - Осколочное супероружие, преобразованное Хаосом, и самый крепкий из трёх собратьев. Бегемот — гигант, способный управлять энергией: выпускать молнии, создавать пламя и генерировать ударные волны. Он может перенаправлять снаряды, а также поглощать и контролировать существующую энергию в определённых пределах. Кроме того, способен испускать огромные объёмы радиации. Как Эндбрингер и физически сильнейший из них, обладает колоссальной мощью и выносливостью. (Примечание: ослаблен до уровня нескольких стран.)
236. Дракон, 5.9
#(Персонаж)(Техно)Worm - Вовсе не дракон. Дракон, или Тереза, — это сверхразвитый искусственный интеллект, созданный Тинкером. Она способна копировать, улучшать и переосмысливать существующие технологии для создания собственных разработок. Как продвинутый ИИ, она может без труда управлять сотнями мехов при наличии соответствующих серверов. Однако ограничения её кода не позволяют ей создавать другие ИИ.
237. Светлая Ярость и Ночная Ярость, 2.6
#Как приручить дракона - Пара драконов: Ночная Ярость и Светлая Ярость. Это ловкие полуводные драконы, способные выпускать уникальные плазменные заряды вместо обычного драконьего огня. Они очень быстры, умны и обладают выдающимися способностями к скрытности.
238. Голубой Алмаз, 5.6
#(Персонаж)Steven Universe - Голубой Алмаз — бывшая межгалактическая правительница собственной империи самоцветов. Как Алмаз, обладает огромной физической силой и прочностью, а её самоцвет практически неразрушим для её уровня. Она способна использовать энергетические атаки и испускать ауру, влияющую на эмоции окружающих. Также обладает всеми стандартными способностями самоцветов: изменением формы, внутренним пространством для хранения, слиянием и восстановлением физического тела, пока её самоцвет остаётся цел.
239. Ляпис Лазули, 5.4
#(Персонаж)Steven Universe - Необычайно могущественная Ляпис Лазули. Представители её касты предназначались для терраформирования, поэтому она обладает невероятно сильным и точным гидрокинезом, способным контролировать огромные массы воды и создавать водяных слуг. Как самоцвет, обладает значительными физическими возможностями и всеми стандартными способностями своего вида: изменением формы, слиянием и регенерацией, пока её самоцвет остаётся цел. Максимальная мощность её гидрокинеза зависит от вашего максимального запаса энергии.
240. Тиамат,т9.1
#(Персонаж)Fate - Тиамат — Зверь II человечества и Мать Всей Жизни. Как Зверь, она обладает непревзойдённой физической силой и магической мощью. Способна создавать и контролировать Море Жизни — чёрную концептуальную субстанцию, превращающую любое поглощённое существо в одного из её детей. Пока существует Море Жизни, Тиамат лишена самой концепции смерти и обладает практически безграничной магической энергией. Она способна воссоздавать Море Жизни снова и снова. Также владеет Нега-Генезисом, позволяющим переписывать локальную реальность и отрицать существование всего, что произошло от человечества, включая божеств и мифические силы.
241. Гоэтия, 9.5
#(Персонаж)Fate - Гоэтия — Царь Демонов, коллективный разум из 72 демонических богов и высшая магическая система. С помощью девяти колец Соломона способен нейтрализовать любую магию. Бессмертен, пока жив хотя бы один из 72 столпов, а благодаря Храму Времени уничтоженные столпы могут возрождаться. Его ясновидение практически всеведуще и позволяет видеть прошлое, настоящее и будущее. Он является абсолютным мастером магии и способен вырывать души одним лишь взглядом.
242. Кирби, 9.6
#Kirby - «Пойо!» Невозможно в полной мере представить или описать силы, которыми обладает это существо.
243. Курица,т1.5
#Minecraft - Эта курица не подчиняется никаким известным законам физики. Каждые 6–12 часов она откладывает яйцо в идеальном состоянии. Это яйцо можно бросить на землю, и тогда есть шанс появления цыплёнка, который вырастет во взрослую особь всего за 24 часа. Кроме того, курицы могут размножаться и обычным способом. Яйца не оплодотворены, если их не бросать, и очень вкусны, как и мясо самой курицы. Никакая биология этого не объясняет. Вы получаете пару таких кур. Им всё ещё нужна еда, так что не дайте беднягам умереть с голоду.
244. Золотая Гусыня, 1.6
#Да, она действительно несёт золотые яйца. Эта на вид совершенно обычная гусыня откладывает одно золотое яйцо каждые 24 часа. Яйцо состоит из чистого золота, если только гусыня не была оплодотворена.
245. Безымянный Гусь, 2.0
#Untitled Goose Game - Самый невыносимый гусь на планете Земля, а это серьёзное достижение. Этот пернатый кошмар — настоящий мастер раздражения и создания неудобств окружающим. Более того, он бессмертен и возрождается в пространстве фамильяров через час после смерти.
246. Перидот, 5.6
#(Техно)(Персонаж)Steven Universe - Перидот второй эпохи, самоцвет, специально созданный как инженер и техник Империи Самоцветов. Она обладает огромными знаниями в области инженерии и создания технологий самоцветов, таких как дроиды и варп-площадки, при наличии времени и ресурсов. Несмотря на слабые физические характеристики, обладает мощным феррокинезом. Будучи самоцветом второй эпохи, не способна изменять форму. Уровень технологий, которые она может создавать, зависит от уровня силы пользователя.
247. Сапфир, 4.8
#(Персонаж)Steven Universe - Сапфир второй эпохи, представитель касты самоцветов, предназначенной для предвидения будущего и помощи своим правителям. Сапфир способна заглядывать в вероятное будущее, хотя неожиданные события могут нарушить её видения. Также обладает сверхчеловеческими физическими характеристиками и мощным криокинезом.
248. Жемчуг, 4.0
#(Персонаж)Steven Universe - Жемчуг первой эпохи, созданная как идеальная помощница. Помимо сверхчеловеческих характеристик, владеет кулинарией, управлением, мастерством владения оружием, сценическим искусством, рисованием, дисциплиной, актёрским мастерством, этикетом и преподаванием на среднем уровне.Всё это делает её практически идеальной спутницей для любых задач. Также обладает стандартными способностями самоцветов, такими как внутреннее хранилище и изменение формы. Вы можете выбрать, какую именно Жемчуг получите.
249. Элиза и Сехмет, 4.6
#(Персонаж)Skullgirls - Элиза была египетской императрицей, слившейся с паразитом-скелетом по имени Сехмет. Благодаря Сехмет она может управлять кровью и превращать собственное тело в кровь, свободно меняя форму. Сехмет также наделяет её сверхчеловеческими физическими характеристиками. Элиза способна хранить внутри себя большие запасы крови, которыми питается. Кроме того, она превосходная артистка и боец.
250. Коро-сэнсэй, 6.8
#(Персонаж)Assassination Classroom - Коро-сэнсэй, некогда один из лучших убийц мира и гениальный полимат, ныне представляет собой существо из антиматерии. Его тело чрезвычайно прочное и пластичное, а скорость и восприятие настолько велики, что невооружённому глазу кажется, будто он создаёт собственные копии. Благодаря своей природе обладает множеством способностей: полётом, регенерацией, выделением особой слизи и многим другим. Также является выдающимся учителем практически в любой области — от боя до науки.
251. Дредон, 8.9
#(Персонаж)(Техно)Calamity Mod - Истинное чудо инженерии и воплощение абсолютной аморальной преданности науке. Сознание Дредона загружено в тело-приманку. Он способен создавать машины, которые могут соперничать и превосходить даже богов, используя силу душ, космоса, пустоты и самых экзотических энергий мультивселенной. При наличии времени и ресурсов пределы его возможностей остаются предметом догадок.
252. S-Snake, 6.8
#(Персонаж)One Piece - Серафим-клон Боа Хэнкок, Императрицы Пиратов, объединённый с ДНК лунарианцев и улучшениями Вегапанка. S-Snake обладает выдающимися физическими характеристиками и продвинутым вооружением, включая лазерные орудия и способности лунарианцев. Также может превращать в камень любого, кто окажется очарован ею. Помимо этого, владеет Волей Наблюдения и Волей Вооружения.
253. Меруэм, 7.8
#Hunter x Hunter - Меруэм — Король Муравьёв-Химер. Настоящее чудовище с невероятными физическими характеристиками и интеллектом, превосходящим большинство гениев. Его главная способность позволяет поглощать плоть других существ, получая их способности и усиливая собственные характеристики (не действует на владельца гачи и фамильяров гачи). Однако количество способностей ограничено числом ваших слотов способностей. Если у вас два слота, то и у него два. Кроме того, он обладает огромным мастерством владения Нэн.
254. Годзилла, 6.2
#Monsterverse - Гигантский зверь из древних времён с колоссальным телом, почти непробиваемой защитой и физической силой, соответствующей его размерам. Годзилла способен поглощать радиацию и превращать её в энергию для подпитки себя и своего разрушительного атомного дыхания.
255. Гидора, 6.9
#Monsterverse - Гидора — гигантский летающий монстр из древних времён. Его сила и прочность настолько велики, что он кажется практически неуязвимым. Он способен вызывать грозы, поглощать энергию из внешних источников и использовать её для молний или концентрированных энергетических лучей огромной разрушительной силы. Более того, при наличии достаточного количества энергии способен к почти мгновенной регенерации. В сочетании с практически бесконечной выносливостью это делает его высшим хищником.
256. Мотра, 6.1
#Monsterverse - Мотра — летающий Титан из Полой Земли. Она обладает выдающимися физическими характеристиками и огромной скоростью полёта. Кроме того, способна чувствовать состояние погоды и форму планеты, а также создавать невероятно прочный шёлк, способный удерживать даже титанов. Мотра умеет обманывать смерть: после гибели она возвращается в пространство фамильяров в виде яйца, которое вылупляется примерно через неделю.
257. Шимо, 7.0
#Monsterverse - Шимо — Титан, положивший начало Ледниковому периоду. Её сила и выносливость практически не имеют равных: она способна без труда выдерживать мощнейшее оружие человечества и превосходить даже Годзиллу. Одного её присутствия достаточно, чтобы температура вокруг упала значительно ниже нуля, а её ледяное дыхание способно заморозить даже титанов за считаные секунды. Направленное в небо, оно создаёт гигантские снежные бури. При наличии времени Шимо способна вызвать новый Ледниковый период.
258. Паразит, 3.5
#Parasyte: The Maxim - Паразит — маленький паразитический организм, который внедряется в плоть и сливается с ней. Он обладает мощными биокинетическими способностями в отношении тканей, с которыми связан, вплоть до контроля клеточной структуры, а также отличается высоким интеллектом. Если ему удастся добраться до мозга, он сможет захватить тело человека, хотя этот процесс довольно ненадёжен.
259. Экскалибур, 6.7
#(Персонаж)Soul Eater - «Из Соединённого Королевства~ Я ищу его~» Экскалибур — Великий Древний из иного мира, принимающий форму абсолютного оружия. В облике меча он дарует владельцу огромную силу, возможность разрезать пространство, создавать порталы и телепортироваться. Как Великий Древний, способен распространять Волну Безумия Ярости, внушая гнев окружающим. Формально использовать его может любой. Проблема лишь в том, что он настолько невыносимо раздражающий, что почти никто не способен его долго терпеть. Именно поэтому его редкость была понижена с мифической.
260. Шофёр, 1.3
#Этот фамильяр при призыве вызывает роскошный лимузин с водителем-големом. Он отвезёт вас в любое место, куда возможно доехать на автомобиле, после чего уедет и исчезнет, как только скроется из виду. Если машина или водитель будут уничтожены, фамильяр уйдёт на перезарядку длительностью 24 часа.
261. Громилы, 2.5
#(Персонажи) 50 примерно тридцатилетних итальянцев, подозрительно похожих друг на друга и выглядящих связанными с мафией. Они не отличаются умом, но каждый из них способен как следует избить обычного человека. Полезны для рутинной или умеренно сложной работы, например охраны, управления магазином и других подобных задач.
262. Ддрайг И Гох, 8.6
#(Персонаж)Highschool DxD - Ддрайг — Небесный Дракон-Император Господства. Как один из Небесных Драконов, он превосходит по силе почти всех богов благодаря своим выдающимся физическим и магическим способностям. Его фирменная способность — Усиление, которое увеличивает его силу при каждом использовании (НЕ удваивает её), а также позволяет передавать свою мощь другим. Кроме того, он способен пробивать любые магические защиты и владеет своей сильнейшей атакой — Пылающим Инферно Испепеляющего Пламени, огненным дыханием, способным сжечь что угодно, даже сильнейших богов.
263. Альбион, 8.5
#(Персонаж)Highschool DxD - Альбион — Небесный Дракон-Император Превосходства. Как один из Небесных Драконов, он превосходит по силе почти всех богов благодаря своим выдающимся физическим и магическим способностям. Он владеет способностью Разделение, которая позволяет уменьшать силу противников и использовать её для приведения себя в идеальное состояние (НЕ делит пополам напрямую). Также способен разделять пространство и объекты. Кроме того, он умеет отражать атаки, а его наиболее опасная способность — Уменьшение, особый яд, который постепенно стирает существование жертвы, пока та полностью не исчезнет.
264. Мьюту, 7.0
#(Персонаж)Pokemon - Искусственно созданный покемон, разделяющий ДНК с Мью. Мьюту — невероятно могущественный эспер, способный читать мысли, контролировать разум, создавать барьеры, выпускать энергетические взрывы, использовать телекинез, управлять стихиями и многое другое.
265. Реми, 1.2
#Ratatouille - Реми — необычайно умная крыса и очень талантливый шеф-повар.
266. Диалга, 8.9
#Pokemon - Диалга — Покемон-Бог Времени, созданный Арсеусом на заре формирования вселенной. Хотя его физические способности сравнительно уступают другим богам, власть над временем у него абсолютна. Он способен искажать, останавливать, ускорять, обращать вспять, зацикливать и пересекать время, хотя достаточно сильные противники могут частично сопротивляться этим эффектам. Также способен использовать свою энергию для мощных атак.
267. Палкия, 8.8
#Pokemon - Палкия — Покемон-Бог Пространства, принимавший участие в создании своей вселенной. Хотя его физические способности сравнительно уступают другим богам, его власть над пространством неоспорима. Он способен искривлять пространство, телепортироваться, создавать порталы, разрушать объекты через пространственные искажения, путешествовать между измерениями и даже создавать собственные карманные миры. Также способен использовать свою энергию для мощных атак.
268. Гиратина, 8.7
#Pokemon - Гиратина — Покемон-Бог Антиматерии, воплощающий баланс между временем и пространством при создании вселенной. Несмотря на сравнительно скромные физические характеристики, Гиратина способна управлять тёмной энергией и Искажённым Миром. Она может свободно входить в него и воздействовать на материальный мир оттуда, а полученные в Искажённом Мире повреждения отражаются на реальности. Также способна использовать свою энергию для мощных атак.
269. Кхорн, 7.6
#Warhammer 40k - Это именно Кхорн. Не метафора, не аллегория и не художественный образ — настоящий Кхорн, Бог Крови. Его истинная форма теперь существует в пространстве ваших фамильяров, но полностью вывести её наружу невозможно. Кхорн может благословлять вас, обучать и делиться своей силой. Степень получаемой выгоды зависит от вашей близости к нему, которую можно повышать насилием, яростью и жертвами для Трона Черепов. Чем выше близость, тем сильнее благословения и тем могущественнее может проявиться Аватар Кхорна как полноценный фамильяр.
270. Слаанеш, 7.5
#Warhammer 40k - Это именно Слаанеш. Не метафора и не преувеличение — настоящий Принц Излишеств. Её истинная форма существует в пространстве фамильяров, но полностью вывести её невозможно. Слаанеш может благословлять вас, обучать и делиться своей силой. Степень пользы зависит от вашей близости к ней, которую можно повышать через похоть, одержимость, страдания, разврат и прочие подобные действия. Чем выше близость, тем сильнее благословения и тем могущественнее становится её Аватар.
271. Тзинч, 7.7
#Warhammer 40k - Это именно Тзинч. Не фигура речи и не символ — настоящий Изменяющий Пути. Его истинная форма существует в пространстве фамильяров, но полностью вывести её наружу невозможно. Тзинч способен благословлять вас, обучать и делиться своей силой. Степень пользы зависит от вашей близости к нему, которую можно повышать планированием, хитростью, обманом и интригами. Чем выше близость, тем сильнее благословения и тем могущественнее может проявиться его Аватар.
272. Нургл, 7.4
#Warhammer 40k - Это именно Нургл. Не метафора и не образ — настоящий Отец Чумы. Его истинная форма существует в пространстве фамильяров, но полностью вывести её наружу невозможно. Нургл способен благословлять вас, обучать и делиться своей силой. Степень пользы зависит от вашей близости к нему, которую можно повышать через разложение, отравления, отчаяние, смерть и подобные деяния. Чем выше близость, тем сильнее благословения и тем могущественнее становится Аватар Нургла.
273. Пуар, 3.1
#(Персонаж)Dragon Ball - Пуар — странное летающее существо, напоминающее кота. Хотя она практически не обладает боевыми способностями, Пуар окончила Академию Трансформации, что позволяет ей принимать форму любых предметов или существ без изменения характеристик. Она также способна обучать этому искусству других при наличии таланта и времени.
274. Акнология, 8.8
#(Персонаж)Fairy Tail - После купания в крови бесчисленных драконов как Убийца Драконов Акнология сам стал драконом и сильнейшим Драконьим Королём. Он является Убийцей Тайной Магии, что позволяет ему поглощать любые стихии для усиления себя и восстановления энергии и здоровья. Он полностью невосприимчив к магии, пока её не станет слишком много для поглощения. Помимо невероятной магической и физической мощи, способен выпускать разрушительные лучи и использовать множество видов магии, включая управление временем.
275. ТВОМП, 1.6
#Mario - «УРНГХ». Огромный разумный(?) каменный монолит с крайне скверным характером. Вы можете призвать ТВОМПа над противником, чтобы он обрушился на него всей своей массой, либо поставить его перед собой как живую стену. Если ТВОМП получает повреждения, он постепенно восстанавливается внутри гачи.
276. Кагуя Ооцуцуки, 9.0
#(Персонаж)Naruto - Богиня-Кролик и прародительница чакры. Как Ооцуцуки, съевшая Плод Чакры, она обладает поистине божественными силами. Среди её способностей — управление всеми природами чакры, создание Шаров Поиска Истины, поглощение энергии, включая энергию живых существ, использование Всесокрушающих Пепельных Костей и Ринне Шарингана. Также она может искривлять пространство, создавать карманные измерения и путешествовать между мирами.
277. Ренамон, 2.8
#Digimon - Ренамон — сильный лисоподобный дигимон с выдающимися физическими способностями, особенно в скорости и ловкости. Она владеет искусством ниндзюцу, используя его как вместе с когтями, окутанными пламенем, так и для выполнения базовых техник ниндзя. (Эволюция отсутствует.)
278. Таомон, 3.9
#Digimon - Таомон — лисоподобный дигимон-маг с отличными физическими характеристиками и специализацией на омнюдо. Она способна создавать множество магических талисманов для создания барьеров, стихийных атак и других эффектов. Также может рисовать в воздухе кистью, создавая различные конструкции. (Эволюция отсутствует.)
279. СкаллГреймон, 3.7
#(Персонаж)Digimon - Чудовищный неживой дигимон, деградировавший до существа, существующего исключительно ради боя. Помимо мощного телосложения и инстинкта сражения, СкаллГреймон представляет собой живую ракетную платформу, способную запускать множество типов ракет: обычные, ядовитые, самонаводящиеся и более мощные варианты. Также способен выдыхать парализующий и токсичный газ. Однако он лишён развитого интеллекта, поэтому плохо справляется со сложными приказами и самостоятельными действиями.
280. Големы-рабочие, 2.3
#Это бригада железных големов, обладающих навыками механики среднего уровня и склонностью к тяжёлому труду. Они не устают и способны работать над проектами без отдыха, но не могут участвовать в бою. Количество призываемых рабочих зависит от вашего максимального запаса энергии, однако минимум составляет десять единиц.
281. Лилитмон, 4.6
#(Персонаж)Digimon - Когда-то Лилитмон почиталась как Богиня Тьмы, но теперь сведена к первому уровню. Она обладает значительной физической силой и мастерством тёмной магии. Может выпускать разрушительную тьму и использовать магию очарования для подчинения целей. Для восстановления и увеличения собственной силы способна пожирать ману свежих трупов.
282. Шейдмон, 2.6
#Digimon - Шейдмон — разумная живая тень. Хотя его боевые способности невелики, он может мучить цели иллюзиями и вселяться в них, усиливая их характеристики и позволяя использовать свою теневую форму для атак. Также становится сильнее, пожирая ману свежих трупов.
283. Айзмон, 4.7
#Digimon - Теневой дракон-демон среди дигимонов. Айзмон обладает огромной физической силой и способен свободно скрываться в тенях. Его многочисленные глаза дают ему выдающиеся сенсорные способности и возможность выпускать проклятые лучи. Он может разделять своё тело на множество частей для разведки и слежки, а также связывать противников тенями. Также становится сильнее, пожирая ману свежих трупов.
284. Гидрамон, 4.2
#Digimon - Гигантский растительный дигимон-монстр. Гидрамон обладает огромной физической силой благодаря своим размерам и строению. Он постоянно выделяет токсичную кислоту, которую может использовать в бою или извергать из своих пастей. Также способен выпускать лучевые атаки из трёх голов. Его щупальца могут удлиняться, атаковать противников или уходить под землю, вызывая землетрясения.
285. Анжевомон, 4.4
#(Персонаж)Digimon - Анжевомон — ангельский дигимон с выдающимися физическими характеристиками и мастерством святой и светлой магии. Она способна вызывать святую молнию и торнадо, а также исцелять союзников и восстанавливать их состояние. Кроме того, получает небольшое усиление в зависимости от того, насколько её противник зол.
286. ЛедиДевимон, 4.4
#(Персонаж)Digimon - ЛедиДевимон — демонический дигимон с огромной физической силой и способностью управлять разъедающей тьмой. Она может создавать из тьмы фамильяров, выпускать волны ядовитой тьмы или усиливать ею собственные физические возможности. Её яд тем сильнее, чем больше энергии у противника, хотя после определённого уровня эффект начинает ослабевать.
287. Ариемон, 4.8
#(Персонаж)Digimon - Ариемон — дух океана, специализирующийся на гидрокинезе, исцелении и поддержке. Она способна лечить существ морской водой, создавать из неё копья и другие атаки, но предпочитает избегать насилия и вместо этого заключать существ в призванные морские раковины. Иногда способна предсказывать и предвещать грядущие катастрофы.
288. Ламиамон, 3.9
#(Персонаж)Digimon - Ламиамон — драконоподобный змеиный дигимон, специализирующийся на ядах. Хотя в прямом бою она не слишком сильна, Ламиамон способна синтезировать самые разные токсины: отравляющие, растворяющие, парализующие, истощающие жизненные силы и многие другие. Чем сильнее яд, тем больше энергии он требует, а его эффективность снижается против более могущественных целей. Благодаря своему мастерству может использовать специальные яды и для лечения некоторых недугов.
